Time [s],Current [A],Voltage [V],Discharge capacity [A.h],Cycle,Step
13521.148229332124,-2.5,4.002516971512013,1.8910751592584223,2.0,0.0
13522.148229332124,-2.5,4.002645457674008,1.8903807148139777,2.0,0.0
13523.148229332124,-2.5,4.002773991882581,1.8896862703695334,2.0,0.0
13524.148229332124,-2.5,4.002902574137728,1.8889918259250889,2.0,0.0
13525.148229332124,-2.5,4.003031292857891,1.8882973814806447,2.0,0.0
13526.148229332124,-2.5,4.003160392129034,1.8876029370362002,2.0,0.0
13527.148229332124,-2.5,4.003289553163884,1.8869084925917559,2.0,0.0
13528.148229332124,-2.5,4.003418775962441,1.8862140481473113,2.0,0.0
13529.148229332124,-2.5,4.003548060524706,1.885519603702867,2.0,0.0
13530.148229332124,-2.5,4.003677406850678,1.8848251592584224,2.0,0.0
13531.148229332124,-2.5,4.003806814940358,1.884130714813978,2.0,0.0
13532.148229332124,-2.5,4.003936284793747,1.8834362703695335,2.0,0.0
13533.148229332124,-2.5,4.004065816410842,1.8827418259250892,2.0,0.0
13534.148229332124,-2.5,4.004195409791644,1.8820473814806447,2.0,0.0
13535.148229332124,-2.5,4.004325064936156,1.8813529370362003,2.0,0.0
13536.148229332124,-2.5,4.004454781844371,1.8806584925917558,2.0,0.0
13537.148229332124,-2.5,4.004584560516298,1.8799640481473114,2.0,0.0
13538.148229332124,-2.5,4.004714400951931,1.8792696037028669,2.0,0.0
13539.148229332124,-2.5,4.004844303151271,1.8785751592584226,2.0,0.0
13540.148229332124,-2.5,4.00497426711432,1.877880714813978,2.0,0.0
13541.148229332124,-2.5,4.005104292841075,1.8771862703695337,2.0,0.0
13542.148229332124,-2.5,4.005234380331538,1.8764918259250891,2.0,0.0
13543.148229332124,-2.5,4.005364529585709,1.8757973814806448,2.0,0.0
13544.148229332124,-2.5,4.005494740603586,1.8751029370362002,2.0,0.0
13545.148229332124,-2.5,4.005625013385171,1.874408492591756,2.0,0.0
13546.148229332124,-2.5,4.0057553479304655,1.8737140481473114,2.0,0.0
13547.148229332124,-2.5,4.005885744239466,1.873019603702867,2.0,0.0
13548.148229332124,-2.5,4.006016202312175,1.8723251592584225,2.0,0.0
13549.148229332124,-2.5,4.00614672214859,1.8716307148139781,2.0,0.0
13550.148229332124,-2.5,4.006277303748712,1.8709362703695336,2.0,0.0
13551.148229332124,-2.5,4.006407947112544,1.8702418259250893,2.0,0.0
13552.148229332124,-2.5,4.006538652240081,1.8695473814806447,2.0,0.0
13553.148229332124,-2.5,4.0066694191313275,1.8688529370362004,2.0,0.0
13554.148229332124,-2.5,4.0068002477862805,1.8681584925917558,2.0,0.0
13555.148229332124,-2.5,4.0069311382049415,1.8674640481473115,2.0,0.0
13556.148229332124,-2.5,4.00706209038731,1.866769603702867,2.0,0.0
13557.148229332124,-2.5,4.007193104333387,1.8660751592584226,2.0,0.0
13558.148229332124,-2.5,4.0073241800431685,1.865380714813978,2.0,0.0
13559.148229332124,-2.5,4.00745531751666,1.8646862703695337,2.0,0.0
13560.148229332124,-2.5,4.00758651675386,1.8639918259250892,2.0,0.0
13561.148229332124,-2.5,4.007717777754765,1.8632973814806448,2.0,0.0
13562.148229332124,-2.5,4.00784910051938,1.8626029370362003,2.0,0.0
13563.148229332124,-2.5,4.0079804850477,1.861908492591756,2.0,0.0
13564.148229332124,-2.5,4.008111931339728,1.8612140481473114,2.0,0.0
13565.148229332124,-2.5,4.008243439395466,1.8605196037028668,2.0,0.0
13566.148229332124,-2.5,4.008375009214909,1.8598251592584225,2.0,0.0
13567.148229332124,-2.5,4.0085066407980605,1.859130714813978,2.0,0.0
13568.148229332124,-2.5,4.008638334144918,1.8584362703695336,2.0,0.0
13569.148229332124,-2.5,4.008770089255485,1.857741825925089,2.0,0.0
13570.148229332124,-2.5,4.008901906129758,1.8570473814806447,2.0,0.0
13571.148229332124,-2.5,4.00903378476774,1.8563529370362002,2.0,0.0
13572.148229332124,-2.5,4.009165725169428,1.8556584925917559,2.0,0.0
13573.148229332124,-2.5,4.009297727334825,1.8549640481473113,2.0,0.0
13574.148229332124,-2.5,4.009429791263929,1.854269603702867,2.0,0.0
13575.148229332124,-2.5,4.009561916956741,1.8535751592584224,2.0,0.0
13576.148229332124,-2.5,4.009694104413259,1.852880714813978,2.0,0.0
13577.148229332124,-2.5,4.009826353633486,1.8521862703695335,2.0,0.0
13578.148229332124,-2.5,4.00995866461742,1.8514918259250892,2.0,0.0
13579.148229332124,-2.5,4.010091037365061,1.8507973814806447,2.0,0.0
13580.148229332124,-2.5,4.010223471876411,1.8501029370362003,2.0,0.0
13581.148229332124,-2.5,4.010355968151467,1.8494084925917558,2.0,0.0
13582.148229332124,-2.5,4.010488526190231,1.8487140481473114,2.0,0.0
13583.148229332124,-2.5,4.010621145992705,1.8480196037028669,2.0,0.0
13584.148229332124,-2.5,4.010753827558882,1.8473251592584226,2.0,0.0
13585.148229332124,-2.5,4.010886588378895,1.8466307148139784,2.0,0.0
13586.148229332124,-2.5,4.0110194600561755,1.845936270369534,2.0,0.0
13587.148229332124,-2.5,4.011152396772829,1.8452418259250896,2.0,0.0
13588.148229332124,-2.5,4.011285398582365,1.844547381480645,2.0,0.0
13589.148229332124,-2.5,4.011418465538297,1.8438529370362007,2.0,0.0
13590.148229332124,-2.5,4.011551597694135,1.8431584925917561,2.0,0.0
13591.148229332124,-2.5,4.01168479510339,1.8424640481473118,2.0,0.0
13592.148229332124,-2.5,4.011818057819573,1.8417696037028672,2.0,0.0
13593.148229332124,-2.5,4.011951385896198,1.841075159258423,2.0,0.0
13594.148229332124,-2.5,4.012084779386774,1.8403807148139784,2.0,0.0
13595.148229332124,-2.5,4.012218238344815,1.839686270369534,2.0,0.0
13596.148229332124,-2.5,4.01235176282383,1.8389918259250895,2.0,0.0
13597.148229332124,-2.5,4.012485352877331,1.8382973814806451,2.0,0.0
